Afghanistan,1
Åland Islands,8
Albania,11
Algeria,25
Andorra,4
Angola,4
Argentina,"2,292"
Armenia,21
Aruba,1
Australia,"2,497"
Austria,"1,171"
Azerbaijan,11
Bahrain,13
Bangladesh,68
Barbados,3
Belarus,389
Belgium,"1,253"
Belize,5
Bolivia,253
Bosnia and Herzegovina,133
Botswana,9
Brazil,"5,889"
Brunei,23
Bulgaria,401
Cambodia,2
Canada,"3,990"
Chile,"2,234"
China,286
Colombia,"1,528"
Costa Rica,233
Croatia,426
Cuba,79
Curaçao,1
Cyprus,73
Czech Republic,"1,418"
Denmark,972
Dominican Republic,34
Ecuador,382
Egypt,38
El Salvador,150
Estonia,202
Ethiopia,1
Faroe Islands,14
Finland,"3,776"
France,"5,002"
French Polynesia,1
Georgia,27
Germany,"10,683"
Gibraltar,5
Greece,"1,976"
Greenland,9
Guam,5
Guatemala,142
Guernsey,13
Guyana,4
Honduras,52
Hong Kong,37
Hungary,"1,111"
Iceland,127
India,213
Indonesia,"1,716"
International,775
Iran,91
Iraq,11
Ireland,406
Isle of Man,2
Israel,272
Italy,"6,382"
Jamaica,1
Japan,"1,968"
Jersey,5
Jordan,30
Kazakhstan,50
Kenya,4
"Korea, South",239
Kuwait,6
Kyrgyzstan,7
Laos,6
Latvia,108
Lebanon,49
Libya,5
Liechtenstein,13
Lithuania,177
Luxembourg,85
Macedonia (FYROM),107
Madagascar,11
Malaysia,607
Maldives,8
Malta,69
Mauritius,2
Mexico,"2,690"
Moldova,34
Monaco,6
Mongolia,6
Montenegro,13
Morocco,22
Mozambique,2
Myanmar,6
Namibia,2
Nepal,26
Netherlands,"2,343"
New Caledonia,6
New Zealand,392
Nicaragua,31
Norway,"1,672"
Oman,2
Pakistan,50
Panama,82
Paraguay,165
Peru,512
Philippines,262
Poland,"3,402"
Portugal,"1,314"
Puerto Rico,151
Qatar,2
Reunion,6
Romania,393
Russia,"3,899"
San Marino,2
Saudi Arabia,12
Serbia,415
Singapore,261
Slovakia,588
Slovenia,285
South Africa,219
Spain,"3,562"
Sri Lanka,42
Suriname,3
Svalbard,3
Sweden,"4,511"
Switzerland,"1,028"
Syria,31
Taiwan,71
Tajikistan,5
Thailand,183
Trinidad and Tobago,7
Tunisia,26
Turkey,527
Turkmenistan,3
Uganda,3
Ukraine,960
United Arab Emirates,26
United Kingdom,"4,990"
United States,"26,401"
Unknown,107
Uruguay,206
Uzbekistan,9
Venezuela,419
Vietnam,41
